,Title,published_date,views,favoriteCount,likeCount,commentCount,month
0,Showing up to Thanksgiving prep so fresh and so clean @johnlegend #DreamTrackAI,2023-11-22,20743,0,1049,61,Nov
1,#TrailerTalk - Season 3 Ep. 1 - Niall Horan,2023-10-30,64483,0,1686,147,Oct
2,John Legend - Here Comes The Sun (Live At Royal Albert Hall),2023-05-17,237364,0,3961,232,May
3,John Legend - Bridge Over Troubled Water (Live At Walt Disney Concert Hall),2023-04-12,137634,0,2226,185,Apr
4,John Legend - By Your Side (Live At Walt Disney Concert Hall),2023-04-10,166655,0,3581,164,Apr
5,John Legend - Wonder Woman (Live At Walt Disney Concert Hall),2023-04-05,67482,0,2214,105,Apr
6,happy valentines day from all of me to all of you ❤️,2023-02-14,43914,0,3546,111,Feb
7,John Legend - Wonder Woman (Live Performance | Vevo),2023-02-10,113334,0,2696,174,Feb
8,John Legend - Bridge Over Troubled Water,2023-02-08,403302,0,6727,294,Feb
9,John Legend - By Your Side (Audio),2023-02-08,1003469,0,17693,435,Feb
10,John Legend - Rounds (Audio),2023-02-08,53896,0,752,24,Feb
11,John Legend - Strawberry Blush (Audio),2023-02-08,60352,0,935,29,Feb
12,John Legend - Wonder Woman,2023-02-08,129428,0,1523,37,Feb
13,John Legend - All She Wanna Do (Audio),2023-02-08,90103,0,1150,23,Feb
14,John Legend - Splash,2023-02-08,40560,0,635,27,Feb
15,John Legend - One Last Dance (Audio),2023-02-08,61988,0,781,26,Feb
16,John Legend - I Don't Love You Like I Used To (Audio),2023-02-08,135658,0,2224,67,Feb
17,John Legend - Nervous (Audio),2023-02-08,1277307,0,11638,278,Feb
18,John Legend - Honey (Audio) ft. Muni Long,2023-02-08,136750,0,2291,60,Feb
19,John Legend - Speak In Tongues,2023-02-08,41763,0,950,63,Feb
20,John Legend - I Don't Love You Like I Used To ([Live Performance | Vevo]),2023-02-08,86524,0,1964,127,Feb
21,John Legend - You Deserve It All (Live Performance),2022-12-20,311653,0,8425,266,Dec
22,John Legend - What Christmas Means to Me (Official Animated Video),2022-12-18,36429,0,1345,89,Dec
23,#TrailerTalk - Season 2 Ep. 19 - Omar Jose Cardona,2022-12-14,8775,0,366,26,Dec
24,#TrailerTalk - Season 2 Ep. 18 - Adam Lambert,2022-12-14,7585,0,401,29,Dec
25,John Legend - The Making of ‘You Deserve It All’ (Vevo Footnotes),2022-12-13,47951,0,866,71,Dec
26,"John Legend, NIIKO X SWAE - All She Wanna Do (Official Visualizer) ft. Saweetie",2022-12-09,53672,0,985,35,Dec
